,cnt,season,mnth,temp,atemp,hum
0,40,1.0,0.21739130434782608,0.6212,0.56,0.298224991183731
1,362,1.0,0.8260869565217391,0.6970000000000001,0.55,0.6140825202774186
2,448,1.0,0.8260869565217391,0.6212,0.69,0.10532502644880687
3,79,1.0,0.13043478260869565,0.4848,0.63,0.38603502997531447
4,12,1.0,0.043478260869565216,0.5152,0.68,0.298224991183731
5,46,0.0,0.43478260869565216,0.4091,0.87,0.22804749030210414
6,189,0.0,0.6521739130434783,0.3939,0.46,0.33337251675091106
7,281,1.0,0.5217391304347826,0.4394,0.44,0.5263900317385682
8,2,0.0,0.08695652173913043,0.3939,0.66,0.298224991183731
9,23,1.0,0.2608695652173913,0.5606,0.88,0.12284001410603033
10,83,0.0,0.6956521739130435,0.1364,0.28,0.22804749030210414
11,100,1.0,0.043478260869565216,0.3485,0.93,0.15786998942047725
12,148,1.0,0.8695652173913043,0.4394,0.44,0.19301751498765723
13,81,0.0,0.3913043478260869,0.3939,0.94,0.15786998942047725
14,421,1.0,0.7826086956521738,0.4394,0.67,0.22804749030210414
15,190,0.0,0.5652173913043478,0.4545,0.67,0.33337251675091106
16,210,1.0,0.5217391304347826,0.4242,0.35,0.12284001410603033
17,98,0.0,0.5652173913043478,0.3485,0.46,0.2631950158692841
18,354,1.0,0.8695652173913043,0.7424,0.59,0.12284001410603033
19,4,0.0,0.13043478260869565,0.6667,0.79,0.19301751498765723
20,7,1.0,0.2608695652173913,0.2273,0.93,0.15786998942047725
21,63,0.0,0.0,0.6364,0.79,0.22804749030210414
22,155,0.0,0.6086956521739131,0.4697,0.48,0.6491124955918656
23,249,0.0,0.43478260869565216,0.4848,0.68,0.33337251675091106
24,406,1.0,0.6956521739130435,0.7576,0.46,0.22804749030210414
25,484,1.0,0.7826086956521738,0.4848,0.22,0.5439050193957917
26,98,0.0,0.8260869565217391,0.3939,0.43,0.5789349947102387
27,18,0.0,0.043478260869565216,0.2727,0.87,0.3508875044081345
28,388,0.0,0.6521739130434783,0.6818,0.7,0.19301751498765723
29,280,0.0,0.8695652173913043,0.6212,0.61,0.2631950158692841
30,150,0.0,0.6521739130434783,0.5455,0.6,0.19301751498765723
31,1,0.0,0.21739130434782608,0.2273,0.59,0.0
32,183,0.0,0.8695652173913043,0.7121,0.84,0.15786998942047725
33,76,0.0,0.9565217391304348,0.4848,0.59,0.33337251675091106
34,270,1.0,0.6086956521739131,0.5303,0.43,0.19301751498765723
35,13,0.0,0.17391304347826086,0.6364,0.79,0.10532502644880687
36,311,1.0,0.3913043478260869,0.6212,0.47,0.298224991183731
37,187,1.0,0.43478260869565216,0.3636,0.57,0.12284001410603033
38,535,1.0,0.6956521739130435,0.4848,0.63,0.3508875044081345
39,176,0.0,0.30434782608695654,0.4848,0.88,0.2631950158692841
40,275,1.0,0.6521739130434783,0.6667,0.51,0.15786998942047725
41,22,0.0,1.0,0.3182,0.48,0.0
42,224,1.0,0.6086956521739131,0.5152,0.24,0.22804749030210414
43,139,1.0,0.43478260869565216,0.4545,0.94,0.19301751498765723
44,2,0.0,0.13043478260869565,0.0758,0.45,0.15786998942047725
45,138,0.0,0.6086956521739131,0.5455,0.78,0.33337251675091106
46,313,0.0,0.30434782608695654,0.5909,0.73,0.15786998942047725
47,221,1.0,0.9130434782608695,0.3485,0.37,0.19301751498765723
48,58,0.0,0.6086956521739131,0.1818,0.34,0.3508875044081345
49,183,1.0,0.9565217391304348,0.4545,0.82,0.15786998942047725
50,9,0.0,0.13043478260869565,0.3182,0.87,0.33337251675091106
51,266,1.0,0.5217391304347826,0.7727,0.7,0.12284001410603033
52,306,1.0,0.6521739130434783,0.4242,0.77,0.15786998942047725
53,82,0.0,0.3913043478260869,0.4545,0.94,0.0
54,224,1.0,0.5652173913043478,0.1818,0.34,0.33337251675091106
55,419,0.0,0.5652173913043478,0.7424,0.62,0.33337251675091106
56,184,0.0,0.7391304347826086,0.1212,0.5,0.298224991183731
57,640,1.0,0.5217391304347826,0.6212,0.57,0.2631950158692841
58,51,1.0,0.08695652173913043,0.2576,0.26,0.38603502997531447
59,41,0.0,0.8695652173913043,0.303,0.39,0.298224991183731
60,10,1.0,0.17391304347826086,0.5152,0.45,0.3508875044081345
61,31,0.0,0.21739130434782608,0.5303,0.88,0.10532502644880687
62,39,0.0,1.0,0.4091,0.94,0.298224991183731
63,157,0.0,0.6086956521739131,0.5303,0.43,0.10532502644880687
64,280,0.0,0.7826086956521738,0.4394,1.0,0.3508875044081345
65,8,1.0,0.17391304347826086,0.6061,0.69,0.0
66,167,0.0,0.5217391304347826,0.4394,0.67,0.298224991183731
67,6,0.0,0.13043478260869565,0.7121,0.79,0.15786998942047725
68,147,1.0,0.2608695652173913,0.5303,0.73,0.3508875044081345
69,167,1.0,0.6956521739130435,0.4091,0.82,0.2631950158692841
70,18,1.0,0.17391304347826086,0.5152,0.64,0.10532502644880687
71,188,1.0,0.0,0.5909,0.89,0.15786998942047725
72,47,0.0,0.0,0.6212,0.56,0.12284001410603033
73,138,0.0,0.6086956521739131,0.4394,0.58,0.12284001410603033
74,5,0.0,0.17391304347826086,0.5152,0.56,0.19301751498765723
75,1,0.0,0.17391304347826086,0.2576,0.56,0.19301751498765723
76,156,0.0,0.5652173913043478,0.8333,0.31,0.0
77,325,0.0,0.5652173913043478,0.4697,0.44,0.0
78,13,0.0,0.08695652173913043,0.6818,0.7,0.19301751498765723
79,476,1.0,0.8260869565217391,0.5909,0.73,0.12284001410603033
80,77,0.0,0.9565217391304348,0.1515,0.43,0.298224991183731
81,558,1.0,0.8260869565217391,0.5303,0.26,0.12284001410603033
82,51,1.0,0.043478260869565216,0.5455,0.78,0.22804749030210414
83,268,0.0,0.7391304347826086,0.4848,0.23,0.33337251675091106
84,180,1.0,1.0,0.5152,0.37,0.22804749030210414
85,299,0.0,0.6521739130434783,0.303,0.34,0.42106500528976143
86,27,0.0,0.9565217391304348,0.2121,0.74,0.10532502644880687
87,71,0.0,0.30434782608695654,0.6061,0.78,0.22804749030210414
88,360,1.0,0.6956521739130435,0.3333,0.43,0.33337251675091106
89,128,0.0,0.4782608695652174,0.5,0.83,0.12284001410603033
90,221,0.0,0.3913043478260869,0.6515,0.45,0.45621253085694136
91,179,1.0,0.3913043478260869,0.4394,0.26,0.2631950158692841
92,791,1.0,0.7826086956521738,0.6667,0.27,0.5263900317385682
93,6,0.0,0.17391304347826086,0.6212,0.53,0.298224991183731
94,202,0.0,0.5217391304347826,0.3485,0.81,0.15786998942047725
95,11,0.0,0.6956521739130435,0.3333,1.0,0.33337251675091106
96,24,0.0,0.0,0.5303,0.88,0.10532502644880687
97,596,1.0,0.34782608695652173,0.4091,0.43,0.22804749030210414
98,270,1.0,0.4782608695652174,0.3333,0.7,0.0
99,144,1.0,0.2608695652173913,0.6212,0.46,0.298224991183731
100,156,1.0,0.43478260869565216,0.4545,0.82,0.22804749030210414
101,268,1.0,0.43478260869565216,0.5455,0.88,0.298224991183731
102,228,0.0,0.3913043478260869,0.6818,0.66,0.298224991183731
103,146,1.0,0.34782608695652173,0.3485,0.76,0.0
